feature,coefficient,std_error,t_value,p_value,CI_lower,CI_upper,abs_t
COMPANY_NAME_ohe_654,-13364.378607870198,6072.637898966768,-2.2007534172495427,0.02775348496800434,-25266.74888984506,-1462.0083258953327,2.2007534172495427
COMPANY_NAME_ohe_388,-10280.955926037053,4679.115319968818,-2.1972008003653065,0.028006108474364577,-19452.021953175936,-1109.889898898171,2.1972008003653065
COMPANY_NAME_ohe_756,9892.558849617659,4513.679869760794,2.191683755840204,0.02840234947524345,1045.746304886503,18739.371394348815,2.191683755840204
COMPANY_NAME_ohe_144,26582.843320217333,12164.886960760312,2.18521087832253,0.02887338827547703,2739.664877127121,50426.021763307544,2.18521087832253
COMPANY_NAME_ohe_215,-12565.288107324248,5753.320700424629,-2.184006204694422,0.02896179213220651,-23841.79668015652,-1288.779534491976,2.184006204694422
COMPANY_NAME_ohe_356,-8539.05941782343,3914.280624377821,-2.181514366814393,0.0291453930010388,-16211.049441603958,-867.069394042901,2.181514366814393
COMPANY_NAME_ohe_460,-7822.3476095096,3593.312261929194,-2.1769184082292647,0.029486655694558772,-14865.239642890821,-779.45557612838,2.1769184082292647
COMPANY_NAME_ohe_513,-12206.217413710321,5617.391478259976,-2.172933373248054,0.029785332231020867,-23216.304711099874,-1196.1301163207681,2.172933373248054
COMPANY_NAME_ohe_718,-18797.313809616073,8652.282012437056,-2.1725267140618207,0.029815956910599795,-35755.7865539927,-1838.841065239445,2.1725267140618207
COMPANY_NAME_ohe_693,-9384.975101613187,4320.741941893828,-2.1720748954286426,0.02985001420143485,-17853.62930772509,-916.3208955012833,2.1720748954286426
COMPANY_NAME_ohe_507,-11169.116931241257,5145.933274193766,-2.1704744962887546,0.029970918641356814,-21255.14614866104,-1083.0877138214746,2.1704744962887546
COMPANY_NAME_ohe_145,-14775.490939300918,6808.219513240955,-2.170243029115737,0.029988439956334156,-28119.60118525319,-1431.3806933486467,2.170243029115737
COMPANY_NAME_ohe_254,-17261.85762599569,7959.670256809341,-2.1686649156387494,0.03010813284169811,-32862.811329341996,-1660.9039226493824,2.1686649156387494
COMPANY_NAME_ohe_680,28932.056333249842,13344.09880750263,2.1681536348474117,0.030146999168012778,2777.622670544686,55086.489995954995,2.1681536348474117
COMPANY_NAME_ohe_383,-17441.318450151117,8055.616635868354,-2.165112770199625,0.03037905025063603,-33230.32705645309,-1652.3098438491434,2.165112770199625
COMPANY_NAME_ohe_15,4794.047518883648,2216.2131804250175,2.1631707460399916,0.030528049391653322,450.2696852506142,9137.825352516682,2.1631707460399916
COMPANY_NAME_ohe_324,-12701.277753866952,5874.172753250121,-2.1622240760351255,0.030600908627791856,-24214.65635023719,-1187.899157496715,2.1622240760351255
COMPANY_NAME_ohe_764,-1739.344392377452,804.4810292191871,-2.162070116265668,0.030612772050556458,-3316.127209647059,-162.56157510784533,2.162070116265668
COMPANY_NAME_ohe_328,23162.894450384094,10715.88965940516,2.1615465618437386,0.030653144274592314,2159.7507179499808,44166.03818281821,2.1615465618437386
COMPANY_NAME_ohe_250,-5020.819327721153,2323.871255657843,-2.1605410865585393,0.030730806519145837,-9575.606988810525,-466.03166663178126,2.1605410865585393
COMPANY_NAME_ohe_552,12357.22096520839,5721.808159344343,2.159670618286579,0.030798177301435192,1142.476972893477,23571.9649575233,2.159670618286579
COMPANY_NAME_ohe_348,-8112.259668849761,3757.5313535368873,-2.158933327652438,0.03085533981847499,-15477.02112178206,-747.4982159174615,2.158933327652438
COMPANY_NAME_ohe_742,-14795.181357271247,6861.042324020243,-2.1564043272949784,0.0310521070816292,-28242.824312350924,-1347.5384021915725,2.1564043272949784
COMPANY_NAME_ohe_650,-8605.51764532112,3991.594559994649,-2.1559097538535217,0.031090712697291245,-16429.042982910632,-781.9923077316089,2.1559097538535217
COMPANY_NAME_ohe_347,8807.826013334628,4087.193509729472,2.1549814053011676,0.031163289344950273,796.9267342648627,16818.725292404393,2.1549814053011676
COMPANY_NAME_ohe_638,-10861.707400225405,5047.53897923246,-2.1518818269486766,0.031406662919488015,-20754.883799521027,-968.5310009297827,2.1518818269486766
COMPANY_NAME_ohe_717,-12522.8661781891,5819.5361197967995,-2.1518667330870285,0.031407852041627216,-23929.15697299083,-1116.5753833873732,2.1518667330870285
COMPANY_NAME_ohe_626,2741.2963056350613,1274.8362228534695,2.150312531518135,0.031530501817281786,242.61730884226108,5239.975302427862,2.150312531518135
COMPANY_NAME_ohe_500,-10715.455754067527,4984.749986324372,-2.149647581817605,0.03158310165273903,-20485.565727263296,-945.3457808717576,2.149647581817605
COMPANY_NAME_ohe_523,-7634.819504937437,3552.168529187382,-2.1493404499825437,0.031607422246832106,-14597.069822144706,-672.5691877301688,2.1493404499825437
COMPANY_NAME_ohe_637,14721.815400606578,6856.1190546522985,2.1472520070398895,0.03177322436622143,1283.822053488073,28159.80874772508,2.1472520070398895
COMPANY_NAME_ohe_506,-6629.7533122715295,3089.6969549369223,-2.1457616746775345,0.0318919977819232,-12685.559343947898,-573.9472805951618,2.1457616746775345
COMPANY_NAME_ohe_723,-15139.319189367572,7061.342742413974,-2.1439717262884312,0.03203515230275089,-28979.550964498958,-1299.0874142361845,2.1439717262884312
COMPANY_NAME_ohe_535,-8143.621995449948,3801.0114301224135,-2.1424881627329593,0.0321542202076488,-15593.604398489879,-693.6395924100179,2.1424881627329593
COMPANY_NAME_ohe_748,-13388.1507418899,6252.089620267026,-2.1413881686037146,0.03224274825288975,-25642.24639761327,-1134.0550861665306,2.1413881686037146
COMPANY_NAME_ohe_560,-6772.0552652957795,3164.8843902138487,-2.139748069861786,0.032375131994676565,-12975.228670114924,-568.8818604766357,2.139748069861786
COMPANY_NAME_ohe_795,7955.641939404306,3720.1213966575606,2.138543636385699,0.03247264648289505,664.204001955487,15247.079876853124,2.138543636385699
COMPANY_NAME_ohe_431,15743.591865000626,7366.20026075313,2.137274484496703,0.03257567290329488,1305.8393539244917,30181.344376076762,2.137274484496703
COMPANY_NAME_ohe_174,-13530.354434846593,6333.04470615377,-2.136469117563508,0.03264119557318246,-25943.122058907982,-1117.5868107852039,2.136469117563508
